,userCode,userFileName,experimentName,sourceurl,response1,response2,item,trialnumber,frame,view,syllNum,fricative,animate,long,deviceName,localTime,age,gender
44,EVG642,642,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue--undefined,,dak,4,undefined,warmup.ejs,,,,,EIV,Mon+Oct+10+2016+17%3A25%3A46+GMT-0400+(EDT),,
45,EVG642,642,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue--undefined,,fitash,5,undefined,warmup.ejs,,,,,EIV,Mon+Oct+10+2016+17%3A25%3A46+GMT-0400+(EDT),,
46,EVG642,642,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue--undefined,,rezik,6,undefined,warmup.ejs,,,,,EIV,Mon+Oct+10+2016+17%3A25%3A49+GMT-0400+(EDT),,
47,EVG642,642,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue--undefined,,dog,7,undefined,stimulus.ejs,,,,,EIV,Mon+Oct+10+2016+17%3A25%3A50+GMT-0400+(EDT),,
48,EVG642,642,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue--undefined,,zebuz,9,46,ro,2,yes,no,none,EIV,Mon+Oct+10+2016+17%3A25%3A52+GMT-0400+(EDT),,
49,EVG642,642,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue--undefined,,shik,10,29,ek,1,no,yes,none,EIV,Mon+Oct+10+2016+17%3A25%3A53+GMT-0400+(EDT),,
50,EVG642,642,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue--undefined,,tut,11,31,ek,1,no,yes,none,EIV,Mon+Oct+10+2016+17%3A25%3A54+GMT-0400+(EDT),,
51,EVG642,642,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue--undefined,,das,12,12,ek,1,yes,yes,none,EIV,Mon+Oct+10+2016+17%3A25%3A55+GMT-0400+(EDT),,
52,EVG642,642,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue--undefined,,zek,13,8,ek,1,no,yes,none,EIV,Mon+Oct+10+2016+17%3A25%3A56+GMT-0400+(EDT),,
53,EVG642,642,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue--undefined,,fut,14,27,ek,1,no,yes,none,EIV,Mon+Oct+10+2016+17%3A25%3A56+GMT-0400+(EDT),,
