
0,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,view,frame,sound1,deviceName,localTime
70,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,frame,view,deviceName,localTime
,AAA73,73,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252Findex1.html,Continue,tikub,4,25,stimulusTest2.ejs,EIV,Sun+Oct+02+2016+15%3A36%3A09+GMT-0600+(MDT)
71,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,frame,view,deviceName,localTime
,YQI74,74,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252Findex1.html,Continue,zoshib,1,79,stimulus.ejs,EIV,Sun+Oct+02+2016+15%3A40%3A23+GMT-0600+(MDT)
72,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,frame,view,deviceName,localTime
,YQI74,74,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252Findex1.html,Continue,pekiv,2,16,stimulus.ejs,EIV,Sun+Oct+02+2016+15%3A40%3A29+GMT-0600+(MDT)
73,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,frame,view,deviceName,localTime
,YQI74,74,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252Findex1.html,Continue,das,3,34,stimulus.ejs,EIV,Sun+Oct+02+2016+15%3A40%3A31+GMT-0600+(MDT)
74,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,frame,view,deviceName,localTime
,REW75,75,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252Findex1.html,Continue,fut,1,103,stimulus.ejs,EIV,Sun+Oct+02+2016+15%3A40%3A47+GMT-0600+(MDT)
75,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,frame,view,deviceName,localTime
,REW75,75,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252Findex1.html,Continue,dapus,2,21,stimulus.ejs,EIV,Sun+Oct+02+2016+15%3A40%3A48+GMT-0600+(MDT)
76,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,frame,view,deviceName,localTime
,REW75,75,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252Findex1.html,Continue,tob,3,94,stimulus.ejs,EIV,Sun+Oct+02+2016+15%3A40%3A48+GMT-0600+(MDT)
77,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,frame,view,deviceName,localTime
